video_trending_country,trending_year,trending_month,video_title,video_category_id,channel_title,video_view_count,video_like_count,video_comment_count,video_duration,trending_appearances
Colombia,2025,10,🦜🥃 DIOMEDEZ | BLESSD ❌ GEEZYDEE,Music,BLESSD EL BENDITO 💙,2328013,94559,3430,PT3M47S,6
Colombia,2025,11,PIRLO - EL FICTICIO 🐛 [RIP Blessd] (Audio Oficial),Music,Pirlo 420,7716298,481584,37392,PT6M15S,7
Colombia,2025,12,HEREDERO - Linda (Video Oficial),Music,HEREDERO,1322119,38500,2309,PT3M1S,7
Colombia,2026,1,"Ryan Castro, Kapo, Gangsta - LA VILLA (Video Oficial) | HOPI SENDÉ",Music,Ryan Castro,3216720,47662,1482,PT3M22S,5
Colombia,2026,2,"Survive 99 Nights, Win $99,000",Gaming,MrBeast Gaming,9899328,228426,13897,PT21M57S,2
Costa Rica,2024,10,I Built a SECRET Lamborghini Dealership!,People & Blogs,Stokes Twins,33303055,392883,12110,PT33M2S,19
Costa Rica,2024,11,BABYMONSTER - 'CLIK CLAK' M/V,People & Blogs,BABYMONSTER,96535645,1295446,61719,PT2M55S,30
Costa Rica,2024,12,"Beat Ronaldo, Win $1,000,000",Entertainment,MrBeast,179234402,6818431,105232,PT22M45S,31
Costa Rica,2025,1,Luck Ra || BZRP Music Sessions #61,Entertainment,Bizarrap,19771270,505276,30707,PT2M53S,31
Costa Rica,2025,2,Every Minute One Person Is Eliminated,Entertainment,MrBeast,93030869,2568561,69544,PT34M46S,28
Costa Rica,2025,3,"Jombriel, DFZM - Vitamina (Video Oficial)",Music,Jombriel,40103251,448866,17356,PT3M34S,31
Costa Rica,2025,4,Up From The Bottom (Official Music Video) - Linkin Park,Music,Linkin Park,20003772,560152,26063,PT3M5S,29
Costa Rica,2025,5,"Would You Risk Drowning for $500,000?",Entertainment,MrBeast,132891751,2711393,41088,PT25M46S,31
Costa Rica,2025,6,Así es la universidad más costosa del mundo | HARVARD,Entertainment,Luisito Comunica,11926033,299863,4935,PT22M19S,30
Costa Rica,2025,7,KARMA｜ Alien Stage,Film & Animation,VIVINOS,7207214,563082,42111,PT8M5S,27
Costa Rica,2025,8,Chappell Roan - The Subway (Official Music Video),Music,ChappellRoanVEVO,12810578,525013,19306,PT4M32S,31
Costa Rica,2025,9,Lady Gaga - The Dead Dance (Official Music Video),Music,LadyGagaVEVO,34181248,984752,61425,PT4M47S,28
Costa Rica,2025,10,Young Miko - Meiomi (Official),Music,YoungMikoVEVO,2617496,78452,3834,PT4M55S,27
Costa Rica,2025,11,"Yan Block, De La Rose, Hades66, Ñengo Flow - 444 Remix (Video Oficial)",Music,Yan Block,13787914,317149,13163,PT5M9S,30
Costa Rica,2025,12,The Boys - Final Season Teaser Trailer | Prime Video,Entertainment,Prime Video,9194019,344758,18102,PT2M1S,25
Costa Rica,2026,1,"Ryan Castro, Kapo - LA VILLA (Letra)",People & Blogs,King Son,1163680,3641,30,PT3M13S,28
Costa Rica,2026,2,Masters of The Universe – Official Teaser Trailer,Entertainment,Amazon MGM Studios,28014190,96853,17907,PT2M25S,2
Croatia,2024,10,*are you satisfied [Nam Phương] #namphuong #shorts #kungfu #martialarts #fighting #shaolin,Entertainment,Nam Phương,184320109,3463690,7170,PT19S,19
Croatia,2024,11,HILJSON MANDELA x MIACH - ANĐEO (Official Video) [Official Soundtrack From SRAM],Music,yem,1315732,17632,549,PT3M1S,30
Croatia,2024,12,Crni Cerak - CC #4 (Official Video),Music,Crni Cerak TV,2396009,28678,871,PT2M59S,31
Croatia,2025,1,Les vacances avec maman 😂,Comedy,Nicocapone,15716842,255572,252,PT11S,29
Croatia,2025,2,The perfect snowball 😳❄️ (via @vidough/TT),Entertainment,SportsNation,82432374,,6064,PT31S,28
Croatia,2025,3,Vukanović poručio Dodiku: Niko te se ne boji!,News & Politics,N1 BiH,1300173,22570,,PT31S,31
Croatia,2025,4,RASTA - TAJLAND (OFFICIAL VIDEO),Music,Balkaton Gang,9867880,48030,810,PT2M53S,29
Croatia,2025,5,Jala Brat & Buba Corelli & Gims - Don Diego (RMX),Music,IMPERIA,4634172,39853,1193,PT2M9S,31
Croatia,2025,6,"Cyclists, This Hose and Tire Trick Will Come in Handy #bike #tips #tricks",Howto & Style,Simple Creative,89779590,1312061,2857,PT15S,29
Croatia,2025,7,Teodora - 101 ZMIJA feat. Jala Brat (Official Video),Music,SevenSky,6201041,34528,1197,PT3M6S,30
Croatia,2025,8,Avatar: Fire and Ash | Official Trailer,Entertainment,Avatar,23491016,565132,31943,PT2M26S,31
Croatia,2025,9,Sabrina Carpenter - Tears (Official Video),Music,SabrinaCarpenterVEVO,39425431,906831,40445,PT5M4S,30
Croatia,2025,10,I Spent $5000 Beating Steal A Brainrot,Gaming,LazarLazar,7801360,133886,6037,PT17M15S,30
Croatia,2025,11,ROSALÍA - Berghain (Official Video) feat. Björk & Yves Tumor,Music,RosaliaVEVO,29017689,907596,42949,PT3M27S,30
Croatia,2025,12,BAROTA (MUSIC VIDEO) SIDHU MOOSE WALA | THE KIDD | LATEST PUNJABI SONGS 2025,Music,Sidhu Moose Wala,59727414,2596127,6303608,PT5M19S,31
Croatia,2026,1,99 NOĆI U LEDENOJ ŠUMI,Comedy,Novke,760835,16263,1009,PT28M8S,31
Croatia,2026,2,Bruno Mars - I Just Might [Official Music Video],Music,Bruno Mars,57213771,1317129,58603,PT3M33S,2
Cyprus,2024,10,*are you satisfied [Nam Phương] #namphuong #shorts #kungfu #martialarts #fighting #shaolin,Entertainment,Nam Phương,184320109,3463784,7170,PT19S,19
Cyprus,2024,11,How Strong is Tin Foil? 💪,Entertainment,Brianna,80426371,1367803,1514,PT25S,30
Cyprus,2024,12,"Beat Ronaldo, Win $1,000,000",Entertainment,MrBeast,179234402,6818441,105232,PT22M45S,31
Cyprus,2025,1,How Many People To Stop Ronaldo?,Entertainment,MrBeast,172451131,7131578,16261,PT21S,31
Cyprus,2025,2,Don’t try this trick with a Squid Game Soldier 😉 #squidgame,Entertainment,Andrey Grechka,194722130,3566324,4769,PT15S,28
Cyprus,2025,3,Trying to keep a clean house with a toddler.,Comedy,Daniel LaBelle,146440555,2671199,6210,PT45S,31
Cyprus,2025,4,"Last to Breathe Wins $1,000!",People & Blogs,Stokes Twins,146983515,3542265,10319,PT36S,29
Cyprus,2025,5,Dad has to use tweezers to remove a pony bead from his daughter's nose!,Entertainment,BVIRAL,43769103,396394,356,PT14S,31
Cyprus,2025,6,"$3,000 RC vs Car!",People & Blogs,RCDriftTok,90606016,1922884,2315,PT19S,30
Cyprus,2025,7,At Peace (Official Video) Karan Aujla | Latest Punjabi Songs 2025,Music,Rehaan Records,41397845,452412,24495,PT2M53S,31
Cyprus,2025,8,MF GABHRU! (Official Video) KARAN AUJLA | IKKY | Latest Punjabi Songs 2025,Music,Karan Aujla,52544216,583958,28677,PT3M31S,31
Cyprus,2025,9,Al Shami - Bethoon [Official Music Video] (2025) / الشامي - بتهون,Music,Al Shami - الشامي,23434241,382055,96863,PT4M9S,30
Cyprus,2025,10,3am In GILLCO (OFFICIAL VIDEO) PREM DHILLON | THE KIDD | Latest Punjabi Songs 2025,People & Blogs,Prem Dhillon,10417861,147991,16336,PT3M25S,29
Cyprus,2025,11,Stranger Things 5 | Official Trailer | Netflix,Entertainment,Netflix,21383631,706226,35579,PT2M55S,30
Cyprus,2025,12,BLOK3 - KUSURA BAKMA (Official Music Video),Music,Blok3,63238193,570360,38084,PT2M54S,31
Cyprus,2026,1,Ati242 - Maraton (Official Video),Music,Ati242,3066220,64486,4684,PT3M37S,31
Cyprus,2026,2,Salvation (ft. Forts) | For Demacia 2026 Season 1 Cinematic - League of Legends,Gaming,League of Legends,48820071,316175,16278,PT4M55S,2
Czechia,2024,10,*are you satisfied [Nam Phương] #namphuong #shorts #kungfu #martialarts #fighting #shaolin,Entertainment,Nam Phương,184296773,3463536,7170,PT19S,19
Czechia,2024,11,Ektor – Pro štěstí (OFFICIAL VIDEO),Music,EktorTV,1361034,23517,891,PT3M5S,29
Czechia,2024,12,Magic trick REVEALED… 👀😱🤣 | Triple Charm #Shorts,Music,Triple Charm,140204609,3439821,7447,PT18S,28
Czechia,2025,1,The clever angel saw through the clown's scheme at a glance#angel#clown,People & Blogs,超人夫妇,158274231,4786018,7696,PT22S,26
Czechia,2025,2,The perfect snowball 😳❄️ (via @vidough/TT),Entertainment,SportsNation,82432219,,6064,PT31S,28
Czechia,2025,3,Proč MrBeast Nemohl Dokončit Tohle Video,Entertainment,Bige,622869,37924,76,PT43S,27
Czechia,2025,4,HARD RICO - MĚ NEDOSTANOU (prod. Zizlav),Music,HARD RICO,1177366,16859,1707,PT2M34S,28
Czechia,2025,5,CRAZIEST IMPOSSIBLE SHOT YET 🤯🏒 @AlwaysHockey,Sports,Dude Perfect,113470310,4816503,3484,PT44S,29
Czechia,2025,6,Ektor - PTSD (OFFICIAL VIDEO),Music,EktorTV,1206564,22251,952,PT2M51S,30
Czechia,2025,7,Who was faster? 😳😱 @isabellaafro,Comedy,Jaymondy,194847445,3882657,10634,PT17S,22
Czechia,2025,8,Jan Bendig ft. Jiřina Bohdalová - SLAĎÁKY (Official video),Music,JanBendigOfficial,440011,7094,889,PT8M46S,27
Czechia,2025,9,Lady Gaga - The Dead Dance (Official Music Video),Music,LadyGagaVEVO,34178574,984750,61425,PT4M47S,28
Czechia,2025,10,Sergei Barracuda x Luca Brassi10x - Antarktida (OFFICIAL VIDEO),Music,Sergei Barracuda,761355,14706,536,PT3M35S,29
Czechia,2025,11,Stranger Things 5 | Official Trailer | Netflix,Entertainment,Netflix,19929734,688029,34251,PT2M55S,22
Czechia,2025,12,"Vojtěch Drahokoupil - Jediný přání (feat. Helena Vondráčková, Marta Jandová, Sharlota a další)",Music,Vojtěch Drahokoupil,202740,4412,186,PT5M30S,30
Czechia,2026,1,DREVO - ЕНКАРАПІСТА,Music,DREVO,6371403,51043,2071,PT2M58S,28
Czechia,2026,2,Masters of The Universe – Official Teaser Trailer,Entertainment,Amazon MGM Studios,28014141,96851,17907,PT2M25S,2
