video_trending_country,video_category_id,trending_appearances,total_views,avg_views,total_likes,rank
Canada,Sports,9745,2750837686,1556784,56884713,4
Canada,People & Blogs,6434,2182567999,1409928,59257044,5
Canada,Film & Animation,3425,2298496704,2195317,67381280,6
Canada,News & Politics,3061,653414723,1291333,8214484,7
Canada,Autos & Vehicles,2132,430570955,1388939,18524807,8
Canada,Comedy,1976,371874763,936712,19646152,9
Canada,Science & Technology,1807,758618787,2173693,17875460,10
Chile,Music,29374,9466398498,2034472,284184577,1
Chile,Gaming,27788,6197797685,334745,193376003,2
Chile,Entertainment,13958,4735565615,2006596,163515320,3
Chile,People & Blogs,11811,1982433596,867966,45104738,4
Chile,Sports,4829,1276600902,2049119,29315509,5
Chile,Film & Animation,2218,796025725,1722999,29959572,6
Chile,Comedy,1510,113047631,897203,6864880,7
Chile,News & Politics,1286,123407780,781062,1563972,8
Chile,Howto & Style,870,79459553,1765768,2514034,9
Chile,Travel & Events,283,15851626,720528,803580,10
Colombia,Music,31768,9555378355,1445157,282253195,1
Colombia,Gaming,25213,5735980013,349947,189981080,2
Colombia,Entertainment,13542,4707725245,2357399,162232400,3
Colombia,People & Blogs,12332,1985261838,667989,47823536,4
Colombia,Sports,4760,1310433346,2217315,29797296,5
Colombia,Film & Animation,2203,797169183,1633543,29508007,6
Colombia,News & Politics,1451,131346725,742072,1656739,7
Colombia,Comedy,1322,113555535,987439,6704708,8
Colombia,Howto & Style,887,79048025,1718435,2516018,9
Colombia,Travel & Events,338,20175554,650824,1103909,10
Costa Rica,Music,28585,9604791272,6377683,245268992,1
Costa Rica,Gaming,23361,4777083274,849410,144182409,2
Costa Rica,Entertainment,13399,4885617622,5115830,159878399,3
Costa Rica,People & Blogs,9287,1575374844,2358346,33825938,4
Costa Rica,Sports,3313,1101812771,3279205,26293073,5
Costa Rica,Film & Animation,1805,587613514,5596319,21403989,6
Costa Rica,Howto & Style,879,84278314,2553888,2437692,7
Costa Rica,News & Politics,710,85865356,1160343,968267,8
Costa Rica,Comedy,662,69989200,1590664,4326011,9
Costa Rica,Autos & Vehicles,309,47947018,3424787,2752247,10
Croatia,Gaming,15201,3980910818,1350835,120613506,1
Croatia,Entertainment,14865,21025158582,19467739,592201193,2
Croatia,Music,8875,3552889932,7825749,91838873,3
Croatia,People & Blogs,8863,16280457152,28215697,339792920,4
Croatia,Sports,3731,4497586449,16295603,134656765,5
Croatia,Comedy,3565,5202332629,25501631,131276822,6
Croatia,Howto & Style,1679,5071260633,45279113,78430986,7
Croatia,Film & Animation,979,702746822,13514362,23348419,8
Croatia,News & Politics,532,116329171,2005675,2239088,9
Croatia,Science & Technology,512,1178147871,36817121,44511642,10
Cyprus,Entertainment,23216,27864530273,22562373,746248557,1
Cyprus,People & Blogs,9080,18198201685,41931340,379922638,2
Cyprus,Gaming,6477,2761684133,3075372,78260202,3
Cyprus,Sports,4715,5993562869,18162312,170661749,4
Cyprus,Music,4680,3680863782,19789590,79303052,5
Cyprus,Comedy,3365,5036934730,31678835,116606631,6
Cyprus,Film & Animation,1684,684603392,7057767,15313295,7
Cyprus,Howto & Style,1479,5694108012,55282602,87975421,8
Cyprus,News & Politics,1345,192224781,1490115,3489505,9
Cyprus,Science & Technology,606,1233941624,47459293,41993305,10
Czechia,Gaming,24609,4767352656,712077,154419369,1
Czechia,Entertainment,14063,17225409120,10580718,514002220,2
Czechia,Music,9351,3479722442,4192437,95425962,3
Czechia,People & Blogs,8201,12933419025,15396927,297008770,4
Czechia,Sports,2856,3916952078,18134037,115165850,5
Czechia,Comedy,2846,3839983852,16916228,103678431,6
Czechia,Howto & Style,1113,2859531489,39171664,48667663,7
Czechia,Film & Animation,789,695170386,7317583,25526742,8
Czechia,News & Politics,544,96427275,1236247,1948119,9
Czechia,Science & Technology,509,951271438,17948518,34328962,10
Denmark,Gaming,30395,5634531414,898936,184611523,1
Denmark,Entertainment,10178,14757779648,14982517,497062517,2
Denmark,People & Blogs,5800,8738895328,19816089,230237184,3
Denmark,Sports,3854,4850843677,15956723,157207433,4
Denmark,Music,3225,3608544984,17864084,95046267,5
Denmark,Comedy,2749,3166503706,14866215,107172475,6
Denmark,Film & Animation,1400,945513780,9550644,36535310,7
