video_trending_country,channel_title,channel_custom_url,video_category_id,trending_appearances,total_views,total_videos,channel_subscribers,channel_view_count,rank
Israel,Brawl Stars,@brawlstars,Gaming,542,452340516,52,25700000,4873772550,3
Israel,Release - Topic,,Music,485,6607696,45,335,5988653,4
Israel,Osher Cohen Music,@officialoshercohen,Music,399,30136624,15,365000,990574387,5
Israel,בן צור הערוץ הרשמי,@ben_zur,Music,396,18332957,19,125000,213001653,6
Israel,EyalGolanOfficial,@eyalgolanofficial,Music,392,14154167,19,1450000,2831137281,7
Israel,איתי לוי - הערוץ הרשמי,@levitayofficial,Music,368,23293493,17,568000,1153912781,8
Israel,עדן בן זקן - הערוץ הרשמי,@edenbenzakenofficial,Music,368,16941250,17,872000,1179110535,9
Israel,Ahmad GTA Family - عائلة احمد قراند,@ahmadgtafamily-,People & Blogs,355,46281168,155,1800000,950220456,10
Italy,LorenzIST,@lorenzist,Gaming,408,18874355,188,2240000,1040058600,1
Italy,Kendal,@kendalyt,Gaming,405,21952924,255,2160000,2189933243,2
Italy,Grax,@grax,Gaming,405,14975401,271,2080000,786501903,3
Italy,MikeShowSha,@mikeshowsha,Gaming,403,21385598,161,3630000,2158957393,4
Italy,FavijTV,@favijtv,Gaming,369,13006140,148,6720000,4471487674,5
Italy,Er DT,@erdt,Gaming,363,14991878,132,1350000,759315290,6
Italy,TPOC exe,@tpoc,Gaming,362,7100411,217,1900000,1833607281,7
Italy,Two Players One Console,@twoplayersoneconsoleyt,Gaming,362,6709917,185,2930000,3250660550,8
Italy,Surry And Chill,@surryandchill,Gaming,361,7438999,343,383000,111778126,9
Italy,Zeyxon24,@zeyxon24,Gaming,360,6312264,246,358000,227682921,10
Jamaica,ChronicLawVEVO,@chroniclawvevo870,Music,890,36842512,57,391000,1351807594,1
Jamaica,VybzKartelVEVO,@vybzkartelvevo,Music,627,53448457,38,629000,1910079002,2
Jamaica,TommyLeeSpartaVEVO,@tommyleespartavevo,Music,580,20742213,30,196000,737157456,3
Jamaica,MrBeast,@mrbeast,Entertainment,526,3614075488,24,415000000,90957106039,4
Jamaica,JamalOfficialVEVO,@jamalofficialvevo427,Music,521,20867257,20,269000,127237538,5
Jamaica,RajahWildVEVO,@rajahwildofficialvevo,Music,509,14438682,25,11300,272463593,6
Jamaica,AlkalineVEVO,@alkalinevevo,Music,481,14925074,25,790000,1581265205,7
Jamaica,Stokes Twins,@stokestwins,People & Blogs,448,2093221607,16,128000000,24217640536,8
Jamaica,SquashVEVO,@squashvevo,Music,418,17308870,17,721000,691938623,9
Jamaica,AdofoVEVO,@adofovevo7510,Music,377,5728995,16,68500,17314199,10
Japan,THE FIRST TAKE,@the_firsttake,Music,549,166382128,122,12200000,7213459286,1
Japan,HYBE LABELS,@hybelabels,Music,425,702932879,111,81900000,47054602165,2
Japan,BE:FIRST Official,@befirst_official,Music,417,60317069,89,476000,1241525250,3
Japan,らっだぁ,@radaooo,Gaming,399,49161992,160,1500000,2034856926,4
Japan,牛沢,@uszw,Gaming,388,41169288,239,1840000,2835414171,5
Japan,Kuzuha Channel,@kuzuha,Gaming,377,83590628,209,2190000,1733617669,6
Japan,モンスト（モンスターストライク）公式,@monsterstrike,Gaming,368,61233624,118,1560000,1257275251,7
Japan,ROF-MAO / ろふまおチャンネル【にじさんじ】,@rofmao,Entertainment,365,19036116,33,1340000,729496101,8
Japan,キヨ。,@kiyoisgod,Gaming,351,117827795,100,5700000,6939108684,9
Japan,令和ちゃんねる,@令和ちゃんねる,Gaming,342,19892924,306,545000,489260152,10
Jordan,مستر جيجي Mr GG,@mr_gg,Gaming,1047,93031071,162,5740000,2326745964,1
Jordan,رانيا كيمنك Rania Gaming,@rania_gaming,Gaming,887,72236326,112,5250000,2314006494,2
Jordan,صالح - oPiiLz,@opiilz,Entertainment,709,66814168,72,10300000,3091947315,3
Jordan,تجارب اسراء - Esraa Nabil,@esraanabil2,People & Blogs,698,51454924,24,3880000,675892554,4
Jordan,مصطفى GAME OVER,@mustafago,Gaming,695,85857772,179,12900000,4673324075,5
Jordan,beIN SPORTS,@beinsports,Sports,653,195196101,57,14300000,2333986858,6
Jordan,عصام صاصا - Essam Saasa,@esamsassa,Music,624,93692133,28,5770000,2510446671,7
Jordan,Brawl Stars,@brawlstars,Gaming,599,482912708,60,25700000,4873772550,8
Jordan,The wonder roby (‫روبي الخارقه‬‎),@thewonderroby,Film & Animation,566,21524126,22,1290000,518637330,9
Jordan,Nasser HD,@nasser_hd,Gaming,486,25726596,42,1700000,413378992,10
Kazakhstan,i_roblox_queen,@i_roblox_queen725,Gaming,471,135836061,80,10900000,5496294998,1
Kazakhstan,ГЛЕНТ,@glentyoutube,Gaming,448,89644584,71,24900000,6014206779,2
Kazakhstan,MrBeast,@mrbeast,Entertainment,380,3068761188,19,415000000,90814739223,3
Kazakhstan,MrLololoshka (Роман Фильченков),@mrlololoshka,Gaming,355,110307877,132,11400000,5618592995,4
Kazakhstan,EdisonPts,@edisonpts,Gaming,355,88567369,165,17200000,8854128264,5
Kazakhstan,Компот,@compot,Gaming,355,88046057,193,17500000,11342499500,6
Kazakhstan,EroxBlox,@eroxbloxjust,Gaming,355,79220740,143,1420000,441172610,7
